pipeline	sample	filter	variant_caller	region	region2	variant_class	TP	FP	FN	RECALL	PRECISION	F1
snpmutator	snpmutator_SV16_H1	RAW	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV16_H1	MTBseq	GATK	TOTAL	TOTAL	snp	782	0	18	0.9775	1.0	0.98875
snpmutator	snpmutator_SV16_H1	MTBseq	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV16_H1	MTBseq	GATK	TOTAL	TOTAL	indel	36	62	14	0.72	0.3673469387755102	0.5436734693877551
snpmutator	snpmutator_SV16_H1	MTBseq	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV16_H1	MTBseq	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV17_H1	RAW	freebayes	TOTAL	TOTAL	snp	798	162	2	0.9975	0.83125	0.914375
snpmutator	snpmutator_SV17_H1	RAW	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV17_H1	RAW	freebayes	TOTAL	TOTAL	indel	36	64	14	0.72	0.36	0.54
snpmutator	snpmutator_SV17_H1	RAW	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV17_H1	RAW	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV17_H1	genotube	freebayes	TOTAL	TOTAL	snp	798	0	2	0.9975	1.0	0.99875
snpmutator	snpmutator_SV17_H1	genotube	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV17_H1	genotube	freebayes	TOTAL	TOTAL	indel	36	63	14	0.72	0.36363636363636365	0.5418181818181818
snpmutator	snpmutator_SV17_H1	genotube	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV17_H1	genotube	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV17_H1	TBprofiler	mpileup	TOTAL	TOTAL	snp	798	6	2	0.9975	0.9925373134328358	0.9950186567164179
snpmutator	snpmutator_SV17_H1	TBprofiler	mpileup	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
